#k i j head
4 650 414 161.135
2 182 553 85.973
4 657 430 157.279
4 182 551 86.4169
2 653 421 153.253
3 182 549 86.8607
4 648 410 167.186
1 655 425 153.03
4 655 426 153.028
4 659 433 171.143
4 656 427 153.276
2 184 560 88.6517
2 654 423 152.535
1 90 80 368.66
1 86 82 353.17
1 654 423 152.535
2 182 552 86.1949
4 657 429 154.265
4 183 545 87.9719
3 183 554 85.6526
2 653 420 153.613
4 643 399 210.352
4 182 553 85.973
4 185 558 85.732
2 656 428 153.274
3 650 414 161.135
1 641 395 226.536
3 185 557 85.9378
3 182 551 86.4169
4 641 396 223.243
1 648 411 166.076
4 652 418 154.964
4 183 554 85.6526
2 183 561 87.3983
4 184 555 85.8981
3 648 411 166.076
2 655 425 153.03
3 649 412 163.528
4 87 82 310.67
4 183 544 88.3065
4 650 415 160.046
1 657 430 157.279
4 658 432 165.83
4 183 547 87.3027
2 656 427 153.276
4 182 542 89.072
3 182 550 86.6388
2 88 81 347.19
1 655 426 153.028
1 656 427 153.276
4 656 428 153.274
3 182 553 85.973
4 84 84 342.61
1 654 424 152.782
1 657 429 154.265
2 651 416 158.141
4 658 431 162.815
4 183 546 87.6373
1 643 399 210.352
3 184 556 85.6923
4 643 400 207.092
1 650 415 160.046
4 644 401 203.196
4 90 80 333.66
4 654 423 152.535
4 185 559 88.2467
2 650 414 161.135
2 657 430 157.279
3 650 415 160.046
1 641 396 223.243
3 185 558 85.732
3 182 552 86.1949
1 649 413 163.04
1 652 418 154.964
4 652 419 154.09
4 653 420 153.613
4 184 556 85.6923
1 87 82 349.56
2 655 426 153.028
3 649 413 163.04
4 83 85 348.53
3 184 555 85.8981
1 650 414 161.135
4 654 422 152.894
4 651 416 158.141
4 436 212 332.35
2 657 429 154.265
2 183 545 87.9719
3 183 547 87.3027
1 649 412 163.528
1 656 428 153.274
4 85 83 330.37
2 185 558 85.732
1 642 398 214.999
1 84 84 377.61
2 651 417 156.869
4 91 79 351.71
2 183 554 85.6526
2 184 555 85.8981
4 436 211 333.084
1 643 400 207.092
1 644 401 203.196
4 644 402 199.936
1 651 417 156.869
2 87 82 346.71
4 654 424 152.782
4 433 209 337.02
2 650 415 160.046
2 185 557 85.9378
3 651 417 156.869
3 654 422 152.894
1 642 397 218.427
1 652 419 154.09
1 653 420 153.613
4 653 421 153.253
4 182 548 87.1082
4 434 210 335.464
4 435 211 333.907
4 642 397 218.427
4 184 560 88.6517
1 651 416 158.141
4 651 417 156.869
4 640 393 234.645
1 647 408 170.933
4 647 409 169.823
2 183 546 87.6373
3 651 416 158.141
1 85 83 365.37
2 182 549 86.8607
2 185 559 88.2467
3 654 424 152.782
4 646 407 176.436
4 649 412 163.528
4 89 80 325.36
4 182 550 86.6388
1 88 81 349.64
2 652 419 154.09
2 184 556 85.6923
1 644 402 199.936
3 182 548 87.1082
4 183 561 87.3983
4 647 408 170.933
3 88 81 344.18
4 655 425 153.03
1 640 394 231.352
4 183 564 98.7422
2 654 422 152.894
2 182 548 87.1082
3 654 423 152.535
4 82 86 348.88
1 653 421 153.253
1 654 422 152.894
4 86 82 318.12
2 182 551 86.4169
4 182 549 86.8607
4 642 398 214.999
2 652 418 154.964
4 88 81 311.18
3 653 421 153.253
4 182 552 86.1949
4 185 557 85.9378
4 181 541 89.5029
4 640 394 231.352
1 647 409 169.823
4 641 395 226.536
4 183 563 89.111
1 648 410 167.186
4 648 411 166.076
2 183 547 87.3027
2 654 424 152.782
3 647 409 169.823
2 182 550 86.6388
3 648 410 167.186
4 183 543 88.6411
1 89 80 360.36
4 649 413 163.04
