per,k,i,j,q,boundname
0,3,143,215,-1.0879648061177274,well_0
0,3,143,215,-0.9640037388036484,well_1
0,3,143,216,-5.162976033517714,well_2
0,3,143,216,-4.589312029789318,well_3
0,3,324,218,-60.90897256394168,SV_193
0,3,346,208,-188.2142462149922,SV_227
0,1,228,536,-235.78859644778024,U__55
0,1,247,538,-994.2360223657938,U_917
0,1,249,536,-530.3066924693943,U___7
0,1,248,536,-1126.4641881834905,U___8
0,3,301,174,-724.1925774334794,SV__61
0,3,260,180,-372.2699799978044,SV__62
0,3,245,182,-388.1729747797205,well_4
0,3,249,181,-388.1729747797205,SV__63
0,3,248,180,-1358.605411727129,SV_266
0,3,165,156,-388.3233735858042,well_5
0,3,234,184,-468.6318524662455,SV_256
0,3,218,178,-632.6530008262138,well_6
0,3,328,317,-92.76583021865233,SV_406
0,3,322,291,-97.36200464906068,SV_407
0,3,376,482,-33.835342808205695,SV_422
0,3,225,185,-82.04246633418528,SV_510
0,3,226,185,-88.5173225921155,SV_511
0,3,223,202,-88.5173225921155,SV_512
0,3,234,186,-88.5173225921155,SV_513
0,3,237,198,-123.84165297879528,SV_514
0,3,236,186,-190.31224357259407,SV_515
0,3,237,198,-190.31224357259407,SV_516
0,3,299,254,-198.91193927,SV_463
0,3,299,254,-266.87897582,SV_465
0,3,285,352,-311.42946611,SV_470
0,3,556,460,-408.8385636768234,SV_487
0,3,557,459,-102.20964091920588,SV_490
0,1,579,458,-238.48916214468755,SV_551
