#k i j q boundname
3 325 219 -60.909 SV_193
1 347 209 -188.21400000000003 SV_227
4 235 184 -468.63199999999995 SV_256
1 249 182 -1358.61 SV_266
4 329 318 -92.7658 SV_406
3 323 292 -97.36200000000001 SV_407
4 377 483 -33.8353 SV_422
1 300 256 -198.912 SV_463
4 300 256 -266.879 SV_465
4 286 353 0.0 SV_470
1 557 460 -408.839 SV_487
4 558 460 -102.21 SV_490
1 226 186 -82.0425 SV_510
4 227 186 -88.5173 SV_511
4 224 203 0.0 SV_512
4 235 187 -88.5173 SV_513
4 238 199 -123.84200000000001 SV_514
4 237 186 -190.312 SV_515
4 238 199 0.0 SV_516
2 580 459 -238.489 SV_551
3 302 175 -724.193 SV__61
4 261 181 -372.27 SV__62
3 250 182 -388.173 SV__63
2 248 539 -994.2360000000001 U_917
2 229 537 -235.78900000000002 U__55
2 250 537 -530.307 U___7
2 249 537 -1126.46 U___8
4 144 216 -1.08796 well_0
4 144 216 -0.9640040000000001 well_1
4 144 217 -5.16298 well_2
4 144 217 -4.58931 well_3
4 246 183 -388.173 well_4
4 166 158 -388.32300000000004 well_5
4 219 179 -632.653 well_6
