#k i j q boundname
3 325 219 -62.719824570000014 SV_193
1 347 209 -202.78364574 SV_227
4 235 184 -438.65079916799993 SV_256
1 249 182 -1269.8452156499998 SV_266
4 329 318 -92.71579923379998 SV_406
3 323 292 -94.296654792 SV_407
4 377 483 -34.475125522999996 SV_422
1 300 256 -194.96757503999999 SV_463
4 300 256 -285.51782936000006 SV_465
4 286 353 0.0 SV_470
1 557 460 -381.06615789100005 SV_487
4 558 460 -109.71323609999997 SV_490
1 226 186 -87.597597675 SV_510
4 227 186 -95.32516554299998 SV_511
4 224 203 0.0 SV_512
4 235 187 -81.102205779 SV_513
4 238 199 -131.88553790000003 SV_514
4 237 186 -204.4293441599999 SV_515
4 238 199 0.0 SV_516
2 580 459 -254.4486838800001 SV_551
3 302 175 -713.27216956 SV__61
4 261 181 -393.2920869000001 SV__62
3 250 182 -417.4839432300001 SV__63
2 248 539 -1053.5421774000001 U_917
2 229 537 -250.42913901000006 U__55
2 250 537 -516.1753790639999 U___7
2 249 537 -1110.0114310800002 U___8
4 144 216 -1.1000472356000002 well_0
4 144 216 -0.9747140844400003 well_1
4 144 217 -5.061666843460001 well_2
4 144 217 -4.499253969870002 well_3
4 246 183 -362.65256611499996 well_4
4 166 158 -379.21216577399997 well_5
4 219 179 -660.40748711 well_6
