k,i,j,obsname
0,50,150,land_surf_obs_50_150
3,50,300,land_surf_obs_50_300
3,100,50,land_surf_obs_100_50
3,100,100,land_surf_obs_100_100
3,100,150,land_surf_obs_100_150
3,100,300,land_surf_obs_100_300
0,100,350,land_surf_obs_100_350
0,100,400,land_surf_obs_100_400
0,150,50,land_surf_obs_150_50
3,150,100,land_surf_obs_150_100
0,150,150,land_surf_obs_150_150
3,150,200,land_surf_obs_150_200
0,150,250,land_surf_obs_150_250
0,150,300,land_surf_obs_150_300
3,150,350,land_surf_obs_150_350
0,150,400,land_surf_obs_150_400
3,150,450,land_surf_obs_150_450
3,150,500,land_surf_obs_150_500
3,200,150,land_surf_obs_200_150
0,200,200,land_surf_obs_200_200
0,200,250,land_surf_obs_200_250
3,200,300,land_surf_obs_200_300
0,200,350,land_surf_obs_200_350
3,200,400,land_surf_obs_200_400
3,200,450,land_surf_obs_200_450
3,200,500,land_surf_obs_200_500
0,200,550,land_surf_obs_200_550
3,250,150,land_surf_obs_250_150
3,250,200,land_surf_obs_250_200
3,250,250,land_surf_obs_250_250
0,250,300,land_surf_obs_250_300
3,250,350,land_surf_obs_250_350
3,250,400,land_surf_obs_250_400
3,250,450,land_surf_obs_250_450
0,250,500,land_surf_obs_250_500
3,250,550,land_surf_obs_250_550
3,250,600,land_surf_obs_250_600
0,300,200,land_surf_obs_300_200
0,300,250,land_surf_obs_300_250
3,300,300,land_surf_obs_300_300
3,300,350,land_surf_obs_300_350
0,300,400,land_surf_obs_300_400
3,300,450,land_surf_obs_300_450
3,300,500,land_surf_obs_300_500
3,300,550,land_surf_obs_300_550
3,300,600,land_surf_obs_300_600
3,350,200,land_surf_obs_350_200
3,350,250,land_surf_obs_350_250
0,350,300,land_surf_obs_350_300
3,350,350,land_surf_obs_350_350
3,350,400,land_surf_obs_350_400
3,350,450,land_surf_obs_350_450
0,350,500,land_surf_obs_350_500
3,400,200,land_surf_obs_400_200
0,400,250,land_surf_obs_400_250
3,400,300,land_surf_obs_400_300
0,400,350,land_surf_obs_400_350
0,400,400,land_surf_obs_400_400
3,400,450,land_surf_obs_400_450
3,400,500,land_surf_obs_400_500
3,450,250,land_surf_obs_450_250
0,450,300,land_surf_obs_450_300
0,450,350,land_surf_obs_450_350
0,450,400,land_surf_obs_450_400
0,450,450,land_surf_obs_450_450
3,450,500,land_surf_obs_450_500
0,500,300,land_surf_obs_500_300
0,500,350,land_surf_obs_500_350
3,500,400,land_surf_obs_500_400
3,500,450,land_surf_obs_500_450
3,500,500,land_surf_obs_500_500
0,550,400,land_surf_obs_550_400
3,550,450,land_surf_obs_550_450
3,550,500,land_surf_obs_550_500
0,600,350,land_surf_obs_600_350
3,600,400,land_surf_obs_600_400
0,600,450,land_surf_obs_600_450
3,650,450,land_surf_obs_650_450
