iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,500,0,0,3092.4,7789.35,0,24346.1
0,500,1,1,17544.1,11786.5,0,50668.8
0,500,2,2,18940.9,7233.98,0,23534
0,500,3,3,9360.65,3973.34,0,9281.75
0,500,4,4,2646.33,11076.9,0,54452
0,500,5,5,9016.63,3889.89,0,7522.56
0,500,6,6,2865.65,4585.3,0,9636.87
0,500,7,7,11540.3,13232.3,0,78744.8
0,500,8,8,7278.29,9351.94,0,34306.8
0,500,10,10,6810.48,6093.16,0,14843
0,500,11,11,13346,8660.89,0,31689.3
0,500,12,12,15880,8589.83,0,38383.6
0,500,13,13,6888.69,4025.84,0,8506.92
0,500,14,14,10415.1,6450.59,0,17012.8
0,500,15,15,15490.8,4026.39,0,8106.31
0,500,16,16,15060.9,8514.5,0,31313.9
0,500,17,17,3844.67,6381.3,0,16094.3
0,500,18,18,18874.6,4273.92,0,9177.69
0,500,19,19,13271.3,20555.8,0,132727
0,500,20,20,12859.1,14841.8,0,107263
0,500,21,21,5335.55,8689.54,0,36172.2
0,500,22,22,25935.9,8321.7,0,26772.3
0,500,23,23,4630.16,7485.07,0,23692.9
0,500,24,24,8894.91,4479.76,0,9468.7
0,500,25,25,9649.69,9033.98,0,33067.5
0,500,26,26,12668.9,4254.29,0,9379.2
0,500,27,27,3648,7605.18,0,27216.4
0,500,28,28,21377.9,6634.05,0,20635.8
0,500,29,29,5082.76,3990.16,0,8757.6
0,500,30,30,4071.52,7746.42,0,33223.8
0,500,31,31,2789.16,5896.6,0,15401.6
0,500,32,32,4736.9,3864.65,0,7949.74
0,500,33,33,15786.8,4208.17,0,9061.01
0,500,34,34,4271.11,5541.64,0,13300.2
0,500,35,35,7493.77,5627.98,0,14578
0,500,36,36,5706.95,26435.8,0,215888
0,500,37,37,3973.01,6441.22,0,16609.3
0,500,38,38,3653.83,6220.06,0,17488.7
0,500,39,39,3058.78,5139.42,0,10477.4
0,500,40,40,8756.39,4541.05,0,9629.71
0,500,41,41,7910.13,5011.33,0,10852.5
0,500,42,42,17039.5,8647.04,0,30408.5
