iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,488,0,0,2958.24,3252.08,0,4282.57
0,488,1,1,9546.87,4579.1,0,5154.22
0,488,2,2,14830.9,2793.67,0,5693.56
0,488,3,3,3964.92,3094.54,0,13236.8
0,488,4,4,886.375,6132.36,0,21564.3
0,488,5,5,7881.39,3535.39,0,14994.1
0,488,6,6,3031.43,2659.64,0,9657.46
0,488,7,7,4530.25,6327.57,0,25665.2
0,488,8,8,3646.37,3385.77,0,3486.38
0,488,10,10,8062.78,2704.45,0,6038.09
0,488,11,11,6909.02,3359.82,0,4047.32
0,488,12,12,7826.18,3206.82,0,3556.98
0,488,13,13,2905.12,2904.24,0,11535.8
0,488,14,14,4729.92,2712.64,0,6156.2
0,488,15,15,9346.32,3087.78,0,13226.3
0,488,16,16,6513.99,3209,0,3694.6
0,488,17,17,2937.1,2733.84,0,5957.56
0,488,18,18,7789.96,3019.3,0,12856.6
0,488,19,19,7319.66,36233.1,0,218821
0,488,20,20,6074.64,12252.6,0,124290
0,488,21,21,4368.44,3482.86,0,3230.54
0,488,22,22,12463.7,2979.86,0,4163.15
0,488,23,23,5119.38,2976.1,0,4306.96
0,488,24,24,2835.27,2685.97,0,10242.6
0,488,25,25,3717.77,3655.26,0,3388.52
0,488,26,26,3603.04,2824.83,0,11528.2
0,488,27,27,1343.45,3188.65,0,3500.63
0,488,28,28,10811.2,2713.49,0,6014.43
0,488,29,29,1929.29,3166.34,0,10211.4
0,488,30,30,1796.3,3203.11,0,3262.21
0,488,31,31,2435.97,2703.17,0,6029.9
0,488,32,32,9582.06,3650.96,0,15093.5
0,488,33,33,4431.71,2838.7,0,11803
0,488,34,34,1179.33,2739.11,0,6521.51
0,488,35,35,6588.14,2628.17,0,7352.18
0,488,37,37,1484.89,2745.2,0,5718.27
0,488,38,38,1430.56,2800.54,0,4842.12
0,488,39,39,882.635,2727.32,0,7266.58
0,488,40,40,2004.13,2658.1,0,9588.56
0,488,41,41,2801.03,2672.38,0,8203.33
0,488,42,42,10605.4,3038.84,0,4452.16
0,488,43,43,6522.94,2748.35,0,9236.11
0,488,44,44,3551.48,2658.86,0,6771.88
0,488,45,45,1576.99,3118.92,0,4273.88
0,488,46,46,7211.88,3714.56,0,3405.63
0,488,47,47,3134.39,2634.93,0,8847.1
0,488,48,48,3900.87,2666.48,0,6476.35
0,488,50,50,4925.28,3224.64,0,13620
0,488,51,51,578.252,5860.24,0,15282.4
0,488,52,52,4719.46,3523.59,0,4352.91
0,488,53,53,4636.94,3551.5,0,12969.8
0,488,54,54,1993.5,3079.29,0,13446.6
0,488,55,55,2973.83,3354.42,0,3169.92
0,488,56,56,6708.55,3295.3,0,14046
0,488,57,57,5939.13,2611.05,0,7966.96
0,488,58,58,5450.93,2632.68,0,6835.56
0,488,59,59,2990.9,2937.64,0,11932.4
0,488,60,60,1006.32,2944.94,0,11598.9
0,488,61,61,4500.44,69109.8,0,873082
0,488,62,62,9504.78,2751.95,0,10984
0,488,63,63,4046.18,2990.11,0,8752.11
0,488,64,64,5917.19,2927.21,0,12127.2
0,488,65,65,6426.04,4016.65,0,4185.94
0,488,67,67,8587.43,2895.99,0,4928.31
0,488,68,68,1409.4,3191.75,0,13726.1
0,488,69,69,4380.08,2857.13,0,4497.56
0,488,70,70,4413.66,4133.68,0,4298.49
0,488,71,71,3099.9,5730.44,0,23722.6
0,488,72,72,8450.03,2708.24,0,6801.22
0,488,73,73,2972.29,3845.53,0,3959.12
0,488,74,74,8294.88,3250.51,0,13752.7
0,488,75,75,3848.8,3426.67,0,14432.5
0,488,76,76,6397.45,4277.16,0,4263.13
0,488,77,77,3729.3,2608.43,0,8105.6
0,488,78,78,5519.9,2799.79,0,5077.15
0,488,79,79,5147.26,2704.65,0,9120.39
0,488,80,80,1921.77,2750.69,0,11361.6
0,488,81,81,1186.09,4556.7,0,5921.54
0,488,82,82,2537.94,2666.28,0,9307.7
0,488,83,83,2439.58,2639.57,0,6780.22
0,488,84,84,1638.83,2692.62,0,7855.57
0,488,85,85,2449.38,2632.15,0,7012.96
0,488,86,86,4547.47,3093.02,0,4034.46
0,488,87,87,4832.11,3174.38,0,13430.7
0,488,88,88,2422.18,2618.45,0,8260.7
0,488,89,89,11928.5,5792.6,0,13363.1
0,488,90,90,9792.58,2820.66,0,5228.74
0,488,91,91,1971.08,3300.98,0,4325.64
0,488,92,92,2407.51,2797.77,0,11544.7
0,488,93,93,694.396,2736.52,0,10216.9
0,488,94,94,3925.49,2630,0,7100.42
0,488,95,95,16658.8,29042.4,0,482501
0,488,96,96,7685.92,2650.29,0,6903.09
0,488,97,97,1930.43,3004.37,0,12624.9
0,488,98,98,851.708,2928.11,0,12224
0,488,99,99,3920.32,2800.57,0,10354.6
0,488,100,100,8012.59,3623.64,0,14026.1
0,488,101,101,7065.66,2721.19,0,6070.1
0,488,102,102,13782.6,5781.44,0,20342.9
0,488,103,103,5455.72,2660.44,0,10064.9
0,488,104,104,14855.4,54488.6,0,309247
0,488,106,106,11652,3424.07,0,13740.9
0,488,107,107,3980.76,2705.39,0,9646.26
0,488,108,108,6193.74,2871.49,0,12179.8
0,488,109,109,590.175,2631.81,0,8459.17
0,488,110,110,7677.39,2797.33,0,11087.2
0,488,111,111,3072.24,32784.7,0,342039
0,488,112,112,6869.59,2952.08,0,4201.37
0,488,113,113,9886.05,4958.16,0,8264.18
0,488,114,114,1991.3,2799.76,0,4886.3
0,488,115,115,1740.29,2866.19,0,12338
0,488,116,116,6201.93,2692.24,0,6372.5
0,488,117,117,6047.14,2625.91,0,7924.2
0,488,118,118,15813.5,3601.05,0,14940.6
