,County,Town,WellNO,Latitude,Latitude_X,Latitude_Y,Longitude,Longitude_,Longitude1,llmethod,Elev,TOC,Well_Depth,Bedrock_We,Elev_1,GW_Depth,Cased_Dept,Case1_Dia,Case1_Lnth,Case2_Dia,Case2_Lnth,SCR,SCR1_Lnth,YT_AvgDisc,Case2_Ln_1,DDLAT,DDLONG,geometry,group,obsnme,DEC_Well_N,Rock_Depth,ls_elev_m,gw_elev_m,x,y
0,SULLIVAN,Thompson,SV700,41 37 50.5,37.8416666667,41.0,74 35 12.9,35.215,74.0,GPS,1800.0,0.0,130,Y,41.0,100.0,10.0,6.0,10.0,0.0,0.0,N,0.0,15.0,0.0,41.63069444,-74.58691667,POINT (1755937.643621407 2268259.382714994),dec_all,SV700,,,422.3762,391.89619018554686,1755937.643621407,2268259.382714994
1,SULLIVAN,Mamakating,SV731,41 35 57.0,35.95,41.0,74 31 05.5,31.0916666667,74.0,,1416.0,2.0,360,Y,5.0,100.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,0.0,41.59916667,-74.51819444,POINT (1762267.695191966 2266092.656558968),dec_all,SV731,,,418.8948,388.4148059082031,1762267.6951919661,2266092.656558968
2,ULSTER,Wawarsing,U1730,41 40 58.8,40.98,41.0,74 25 29.4,25.49,74.0,GPS,0.0,1.5,122,Y,7.0,15.0,18.5,6.0,20.0,0.0,0.0,N,0.0,20.0,0.0,41.683,-74.42483333,POINT (1767683.242367956 2276968.418370055),dec_all,U1730,,,135.56178,130.98978283691406,1767683.2423679563,2276968.4183700546
3,SULLIVAN,Mamakating,SV748,41 36 03.6,36.06,41.0,74 30 07.2,30.12,74.0,GPS,1467.0,2.0,360,Y,70.0,60.0,78.0,6.0,80.0,0.0,0.0,N,0.0,0.0,0.0,41.601,-74.502,POINT (1763527.463284492 2266593.016630779),dec_all,SV748,,,364.0226,345.7346135253906,1763527.4632844923,2266593.0166307786
4,SULLIVAN,Fallsburgh,SV760,41 40 56.9,40.9483333333,41.0,74 36 03.8,36.0633333333,74.0,GPS,1148.0,1.5,300,Y,2.0,260.0,20.0,6.0,20.0,0.0,0.0,N,0.0,4.5,100.0,41.68247222,-74.60105556,POINT (1753504.17814003 2273646.151841896),dec_all,SV760,,,347.2601,268.0121013183594,1753504.1781400302,2273646.1518418957
5,SULLIVAN,Mamakating,SV772,41 37 11.4,37.19,41.0,74 27 25.9,27.4316666667,74.0,GPS,0.0,2.0,320,Y,190.0,40.0,198.0,6.0,200.0,0.0,0.0,N,0.0,40.0,0.0,41.61983333,-74.45719444,POINT (1766666.157721889 2269479.050620919),dec_all,SV772,,,172.65678,160.46478405761718,1766666.1577218892,2269479.0506209186
6,SULLIVAN,Mamakating,SV773,41 36 34.3,36.5716666667,41.0,74 25 21.7,25.3616666667,74.0,GPS,0.0,2.0,170,Y,10.0,10.0,18.0,6.0,20.0,0.0,0.0,N,0.0,25.0,0.0,41.60952778,-74.42269444,POINT (1769706.273876684 2268997.214737142),dec_all,SV773,,,402.89124,399.8432353515625,1769706.273876684,2268997.214737142
7,ULSTER,Wawarsing,U1936,41 42 53.8,42.8966666667,41.0,74 25 51.0,25.85,74.0,GPS,0.0,0.0,290,,0.0,20.0,0.0,6.0,80.0,0.0,0.0,N,0.0,6.0,0.0,41.71494444,-74.43083333,POINT (1766395.768166829 2280339.743697401),dec_all,U1936,,,325.13843,319.042427734375,1766395.768166829,2280339.7436974007
8,ULSTER,Wawarsing,SV809,41 45 04.2,45.07,41.0,74 30 15.8,30.2633333333,74.0,GPS,0.0,0.0,260,,0.0,160.0,0.0,6.0,20.0,0.0,0.0,N,0.0,20.0,150.0,41.75116667,-74.50438889,POINT (1759566.255091706 2282924.730869673),dec_all,SV809,,,331.39935,282.6313530273437,1759566.2550917063,2282924.7308696727
9,SULLIVAN,Fallsburgh,SV810,41 45 22.6,45.3766666667,41.0,74 34 56.2,34.9366666667,74.0,GPS,1301.0,1.0,500,Y,3.0,100.0,40.0,6.625,41.0,0.0,0.0,N,0.0,11.0,100.0,41.75627778,-74.58227778,POINT (1753171.217546676 2282042.602343161),dec_all,SV810,,,381.38464,350.9046435546875,1753171.2175466763,2282042.602343161
